Name;Release Date;Price
Counter-Strike: Global Offensive;21.08.2012;0.00
The Forest;30.04.2018;16.79
Farming Simulator 19;20.11.2018;34.99
Raft;23.05.2018;15.99
RESIDENT EVIL 2;25.01.2019;59.99
Path of Exile;23.10.2013;0.00
Rocket League;07.07.2015;19.99
Warframe;25.03.2013;0.00
ATLAS;22.12.2018;24.99
Tom Clancy's Rainbow Six Siege;01.12.2015;14.99
Grand Theft Auto V;14.04.2015;29.99
Tales of Vesperia: Definitive Edition;11.01.2019;39.99
Dota 2;09.07.2013;0.00
Assassin's Creed Odyssey;05.10.2018;59.99
Catherine Classic;10.01.2019;19.99
Black Desert Online;24.05.2017;9.99
Insurgency: Sandstorm;12.12.2018;29.99
ARK: Survival Evolved;29.08.2017;54.99
Celeste;25.01.2018;14.99
Battlefleet Gothic: Armada 2;24.01.2019;35.99
Subnautica;24.01.2018;20.99
PLAYERUNKNOWN'S BATTLEGROUNDS;21.12.2017;29.99
Middle-earth: Shadow of War;10.10.2017;39.99
Rust;08.02.2018;29.99
MONSTER HUNTER: WORLD;09.08.2018;59.99
DayZ;13.12.2018;39.99
Dead by Daylight;14.06.2016;19.99
Total War: ROME II - Emperor Edition;03.09.2013;54.99
Factorio;25.02.2016;25.00
Yu-Gi-Oh! Duel Links;17.11.2017;0.00
JUMP FORCE;15.02.2019;59.99
Divinity: Original Sin 2 - Definitive Edition;14.09.2017;44.99
WWE 2K19;09.10.2018;49.99
Frostpunk;24.04.2018;29.99
Terraria;16.05.2011;9.99
Kingdom Two Crowns;11.12.2018;19.99
Insurgency: Sandstorm;12.12.2018;29.99
Alien: Isolation;06.10.2014;36.99
DARK SOULS III;12.04.2016;59.99
DARK SOULS III Deluxe Edition;12.04.2016;84.98
Pathfinder: Kingmaker;25.09.2018;39.99
Stardew Valley;26.02.2016;13.99
ACE COMBAT 7: SKIES UNKNOWN;01.02.2019;59.99
Steep;02.12.2016;29.99
Garry's Mod;29.11.2006;9.99
DARK SOULS II: Scholar of the First Sin;02.04.2015;39.99
Age of Empires III: Complete Collection;05.01.2012;36.99
War Thunder;15.08.2013;0.00
Mutant Year Zero: Road to Eden;04.12.2018;34.99
Skater XL;19.12.2018;16.79
Deep Rock Galactic;28.02.2018;22.99
Assetto Corsa Competizione;12.09.2018;34.99
The Isle;02.12.2015;19.99
Total War: WARHAMMER II;28.09.2017;59.99
Warhammer: Vermintide 2;08.03.2018;27.99
Sniper Elite 4;14.02.2017;59.99
Total War: THREE KINGDOMS;07.03.2019;59.99
Far Cry 5;27.03.2018;59.99
The Crew 2;29.06.2018;59.99
Medieval Kingdom Wars;03.01.2019;13.43
Kenshi;06.12.2018;26.99
We Happy Few;10.08.2018;59.99
Call of Duty: WWII;03.11.2017;59.99
Farming Simulator 17;24.10.2016;19.99
Shadow Tactics: Blades of the Shogun;06.12.2016;15.99
Ring of Elysium;19.09.2018;0.00
The Witcher 3: Wild Hunt;19.05.2015;29.99
The Witcher 3: Wild Hunt - Game of the Year Edition;30.08.2016;49.99
Tom Clancy's The Division;08.03.2016;49.99
Fate/EXTELLA;25.07.2017;49.99
Devil May Cry 5;08.03.2019;59.99
Thief Simulator;09.11.2018;19.99
The Elder Scrolls Online;22.05.2017;19.99
Anno 1404;25.06.2009;9.99
Anno 1404 Gold;08.12.2010;14.99
DARK SOULS: REMASTERED;24.05.2018;39.99
Pillars of Eternity II: Deadfire;08.05.2018;45.99
Hurtworld;04.12.2015;9.20
LEGO Worlds;07.03.2017;29.99
Enter the Gungeon;05.04.2016;7.49
Golf With Your Friends;30.01.2016;5.99
Borderlands 2;21.09.2012;29.99
ShellShock Live;11.03.2015;6.99
FINAL FANTASY XIV Online;18.02.2014;9.99
Euro Truck Simulator 2;12.10.2012;19.99
GORN;10.07.2017;19.99
Yu-Gi-Oh! Legacy of the Duelist;07.12.2016;19.99
Empyrion - Galactic Survival;05.08.2015;19.99
PC Building Simulator;27.03.2018;19.99
Warhammer 40,000: Dawn of War III;27.04.2017;39.99
Europa Universalis IV;13.08.2013;39.99
Fear the Night;12.12.2018;12.49
RIDE 3;30.11.2018;39.99
Paladins;08.05.2018;0.00
Team Fortress 2;10.10.2007;0.00
Banished;18.02.2014;18.99
Warface;01.07.2014;0.00
ELEX;17.10.2017;49.99
Skyforge;13.04.2017;0.00
Arma 3;12.09.2013;34.99
RaceRoom Racing Experience;12.02.2013;0.00
Garden Paws;18.12.2018;16.79
ATOM RPG: Post-apocalyptic indie game;19.12.2018;14.99
GROUND BRANCH;14.08.2018;16.79
Franchise Hockey Manager 5;05.10.2018;33.99
Serious Sam 3 VR: BFE;09.11.2017;36.99
Leisure Suit Larry - Wet Dreams Don't Dry;07.11.2018;29.99
SPORE;19.12.2008;14.99
Into the Breach;27.02.2018;14.99
The Binding of Isaac: Rebirth;04.11.2014;14.99
The Elder Scrolls Online: Summerset;21.05.2018;29.99
UNO;03.01.2017;9.99
Stick Fight: The Game;28.09.2017;4.99
MONOPOLY PLUS;07.09.2017;14.99
World of Tanks Blitz;09.11.2016;0.00
Pizza Connection 3;22.03.2018;29.99
Just Cause 3;01.12.2015;29.99
Tourist Bus Simulator;06.12.2018;29.95
Borderlands: The Pre-Sequel;17.10.2014;39.99
Magicka 2;26.05.2015;14.99
Planet Coaster;17.11.2016;37.99
Automation - The Car Company Tycoon Game;12.03.2015;27.99
7 Days to Die;13.12.2013;22.99
Thronebreaker: The Witcher Tales;09.11.2018;25.89
Resident Evil Revelations 2 / Biohazard Revelations 2;25.02.2015;5.99
Anno 2070;17.11.2011;19.99
Surviving Mars;15.03.2018;29.99
Rocksmith 2014 Edition - Remastered;22.10.2013;29.99
Absolver;29.08.2017;29.99
Age of Empires II HD;10.04.2013;19.99
Budget Cuts;14.06.2018;27.99
Eco;06.02.2018;24.99
Beat Saber;01.05.2018;19.99
Dying Light;27.01.2015;29.99
BeamNG.drive;29.05.2015;22.99
Trove;09.07.2015;0.00
Getting Over It with Bennett Foddy;06.12.2017;6.99
Rick and Morty: Virtual Rick-ality;20.04.2017;27.99
War for the Overworld;02.04.2015;27.99
My Time At Portia;23.01.2018;19.99
Project Hospital;30.10.2018;24.99
The Daedalic Armageddon Bundle;12.01.2019;12.09
A New Beginning - Final Cut;11.12.2012;9.99
The Dark Eye: Chains of Satinav;22.06.2012;12.09
Deponia;07.08.2012;9.99
Edna & Harvey: Harvey's New Eyes;16.10.2012;12.09
Chaos on Deponia;06.11.2012;12.09
The Night of the Rabbit;28.05.2013;12.09
Goodbye Deponia;18.10.2013;12.09
Memoria;30.08.2013;12.09
Edna & Harvey: The Breakout;25.10.2013;12.09
The Whispered World Special Edition;06.05.2014;12.09
They Are Billions;12.12.2017;22.99
Identity;01.12.2018;24.99
Bright Memory - Episode 1;12.01.2019;5.69
Green Hell;29.08.2018;16.79
Zula - Europe;24.11.2016;0.00
Youtubers Life;02.02.2017;24.99
Slime Rancher;01.08.2017;19.99
Oxygen Not Included;18.05.2017;22.99
Left 4 Dead 2;17.11.2009;8.19
Clicker Heroes 2;16.07.2018;24.99
11-11 Memories Retold;09.11.2018;14.99
House Flipper;17.05.2018;16.79
World of Warships;15.11.2017;0.00
Overcooked! 2;07.08.2018;22.99
BELOW;14.12.2018;21.99
PixARK;27.03.2018;22.99
Pavlov VR;27.02.2017;9.99
Call of Duty 4: Modern Warfare;12.11.2007;19.99
Nightshade;12.04.2017;31.99
SUPERHOT VR;25.05.2017;22.99
Space Engineers;23.10.2013;22.99
The Inner World - The Last Wind Monk;20.10.2017;24.99
The Escapists 2;22.08.2017;19.99
Ori and the Blind Forest: Definitive Edition;27.04.2016;19.99
DOOM;13.05.2016;19.99
Tom Clancy's Ghost Recon Wildlands;07.03.2017;49.99
GRIS;13.12.2018;16.99
Rogue Legacy;27.06.2013;11.50
Katamari Damacy REROLL;07.12.2018;19.99
Portal Knights;18.05.2017;19.99
Tethered;27.02.2017;22.99
Beasts of Bermuda;21.12.2018;19.99
Si05.rport;07.03.2017;21.99
Demolish & Build 2018;08.03.2018;19.99
Slay;30.11.2016;9.99
Florensia;29.11.2016;0.00
Return of the Obra Dinn;18.10.2018;16.79
Tabletop Simulator;05.06.2015;19.99
Farm Together;11.10.2018;19.99
Far Cry 3;29.11.2012;19.99
We Were Here Too;02.02.2018;9.99
Resident Evil HD REMASTER;19.01.2016;19.99
Russian Fishing 4;15.06.2018;0.00
Danganronpa: Trigger Happy Havoc;18.02.2016;19.99
METAL GEAR RISING: REVENGEANCE;09.01.2014;19.99
SCUM;29.08.2018;16.79
Sid Meier's Civilization IV;25.10.2006;19.99
Fishing: Barents Sea;07.02.2018;19.99
Tomb Raider;05.03.2013;19.99
Mirror's Edge;14.01.2009;9.99
Street Fighter V;16.02.2016;19.99
Silence;15.11.2016;19.99
Executive Assault 2;18.10.2018;20.99
Darksiders Warmastered Edition;29.11.2016;19.99
Legends of Eisenwald;02.07.2015;19.99
Planetbase;16.10.2015;19.99
Football, Tactics & Glory;01.06.2018;19.99
Kingdoms of Amalur: Reckoning;10.02.2012;19.99
Red Orchestra 2: Heroes of Stalingrad with Rising Storm;14.09.2011;19.99
Surgeon Simulator: Experience Reality;05.12.2016;19.99
The Elder Scrolls IV: Oblivion Game of the Year Edition Deluxe;16.06.2009;19.99
Empires of the Undergrowth;01.12.2017;19.99
Sword Art Online: Lost Song;13.11.2018;19.99
Legion TD 2;20.11.2017;19.99
Scrap Mechanic;20.01.2016;19.99
DUSK;10.12.2018;16.99
Dungeons;10.02.2011;9.99
Dungeons - The Dark Lord;23.09.2011;18.99
Golf It!;17.02.2017;8.99
Artifact;28.11.2018;17.95
TrackMania 2 Canyon;27.02.2013;19.99
Human: Fall Flat;22.07.2016;14.99
Blitzkrieg 3;02.06.2017;19.99
Eternal Card Game;16.11.2018;0.00
Witch It;31.05.2017;14.99
Warhammer 40,000: Dawn of War II;18.02.2009;19.99
X-Morph: Defense;30.08.2017;19.99
Warhammer 40,000: Dawn of War II Chaos Rising;12.03.2010;19.99
Cosmic Trip;24.05.2017;19.99
Heroes & Generals;18.10.2016;0.00
The Elder Scrolls: Legends;31.05.2017;0.00
Risen;02.10.2009;9.99
NBA 2K19;11.09.2018;49.99
Football Manager 2019;02.11.2018;54.99
Stonehearth;25.07.2018;16.79
Antichamber;31.01.2013;18.99
One Hour One Life;08.11.2018;16.79
Forts;19.04.2017;14.99
Hob;26.09.2017;19.99
theHunter: Call of the Wild;16.02.2017;19.99
Shadow of the Tomb Raider;14.09.2018;59.99
RimWorld;17.10.2018;29.99
FOR HONOR;14.02.2017;14.99
Medieval Engineers;19.02.2015;18.99
LEGO Star Wars - The Complete Saga;13.11.2009;16.79
Cossacks 3;20.09.2016;19.99
Black Mesa;05.05.2015;17.99
STAR WARS - The Force Unleashed Ultimate Sith Edition;16.12.2009;16.79
My Summer Car;24.10.2016;14.99
Keep Talking and Nobody Explodes;08.10.2015;14.99
Conqueror's Blade;31.10.2018;14.99
Armored Warfare;17.11.2017;0.00
Bad North;16.11.2018;14.99
Brick Rigs;07.11.2016;14.99
103;21.12.2018;8.19
Legends of Ellaria;29.07.2017;16.99
1849;08.05.2014;14.99
VEGA Conflict;14.12.2015;0.00
Disney Infinity 2.0: Gold Edition;10.12.2016;24.99
Disney Infinity 1.0: Gold Edition;10.12.2016;24.99
Breathedge;13.09.2018;15.99
Sniper Fury;13.06.2017;0.00
Planescape: Torment: Enhanced Edition;11.04.2017;15.99
Stronghold Legends: Steam Edition;15.09.2016;14.99
Tiny Town VR;02.08.2017;14.99
Deponia Doomsday;01.03.2016;4.99
Sid Meier's Civilization III Complete;25.10.2006;4.99
MechWarrior Online Solaris 7;10.12.2015;0.00
Deiland;09.08.2018;14.99
Europa Universalis III Complete;04.02.2009;14.99
Dreamwalker: Never Fall Asleep;18.10.2018;14.99
Kona;17.03.2017;14.99
I Hate Running Backwards;22.05.2018;14.99
SMITE;08.09.2015;0.00
Brawlhalla;17.10.2017;0.00
Bloons TD 6;18.12.2018;7.99
Swords and Soldiers 2 Shawarmageddon;06.11.2018;14.99
Pro Pinball Ultra;21.07.2016;14.99
My Brother Rabbit;21.09.2018;14.99
Quake III Arena;04.08.2007;14.99
QUAKE III: Team Arena;04.08.2007;14.99
Warhammer 40,000: Dawn of War - Dark Crusade;07.08.2007;12.99
Duck Game;04.06.2015;12.99
Turok 2: Seeds of Evil;16.03.2017;19.99
Castle Crashers;26.09.2012;11.99
Monster Energy Supercross - The Official Videogame;13.02.2018;14.99
Star Conflict;27.02.2013;0.00
Blackguards;22.01.2014;9.99
